iter	Passed	Remaining
0	14	14330
1	29	14959
2	45	15241
3	60	15105
4	75	14926
5	89	14756
6	105	14915
7	119	14766
8	135	14878
9	150	14854
10	163	14705
11	179	14742
12	193	14664
13	207	14641
14	222	14591
15	236	14548
16	249	14451
17	264	14425
18	278	14363
19	293	14369
20	306	14307
21	322	14315
22	340	14465
23	356	14504
24	372	14532
25	388	14561
26	404	14559
27	421	14619
28	436	14615
29	450	14575
30	464	14532
31	478	14484
32	492	14422
33	505	14365
34	517	14269
35	531	14234
36	546	14219
37	559	14154
38	571	14084
39	584	14037
40	597	13972
41	609	13894
42	622	13847
43	635	13816
44	649	13791
45	664	13787
46	682	13832
47	700	13900
48	722	14020
49	742	14111
50	764	14231
51	784	14309
52	813	14544
53	831	14569
54	851	14622
55	864	14580
56	880	14564
57	896	14556
58	911	14537
59	924	14485
60	940	14481
61	955	14450
62	969	14424
63	984	14395
64	1001	14402
65	1017	14399
66	1032	14382
67	1047	14357
68	1062	14341
69	1078	14322
70	1094	14321
71	1111	14323
72	1126	14303
73	1139	14263
74	1156	14269
75	1172	14261
76	1188	14248
77	1203	14228
78	1219	14217
79	1238	14244
80	1254	14228
81	1269	14210
82	1286	14208
83	1301	14187
84	1317	14185
85	1336	14205
86	1354	14211
87	1370	14200
88	1387	14203
89	1405	14212
90	1424	14225
91	1439	14208
92	1458	14221
93	1474	14212
94	1490	14196
95	1508	14205
96	1524	14194
97	1538	14157
98	1554	14146
99	1570	14131
100	1585	14115
101	1604	14123
102	1621	14119
103	1637	14109
104	1654	14101
105	1671	14095
106	1694	14141
107	1714	14160
108	1733	14167
109	1749	14156
110	1766	14146
111	1783	14139
112	1803	14153
113	1823	14171
114	1842	14181
115	1861	14188
116	1877	14169
117	1895	14166
118	1910	14147
119	1927	14138
120	1945	14133
121	1961	14118
122	1977	14100
123	1994	14086
124	2009	14067
125	2026	14054
126	2043	14048
127	2060	14037
128	2074	14008
129	2091	13998
130	2108	13983
131	2123	13960
132	2140	13951
133	2155	13930
134	2172	13922
135	2189	13907
136	2204	13884
137	2220	13869
138	2234	13843
139	2249	13818
140	2264	13796
141	2279	13774
142	2296	13762
143	2313	13750
144	2329	13733
145	2345	13722
146	2361	13703
147	2377	13687
148	2394	13678
149	2412	13671
150	2428	13651
151	2443	13633
152	2460	13622
153	2480	13623
154	2494	13601
155	2509	13575
156	2524	13554
157	2541	13542
158	2557	13528
159	2573	13509
160	2587	13485
161	2603	13468
162	2617	13441
163	2633	13425
164	2649	13409
165	2666	13395
166	2679	13364
167	2696	13356
168	2714	13349
169	2732	13339
170	2749	13330
171	2766	13317
172	2782	13302
173	2798	13283
174	2813	13264
175	2830	13251
176	2846	13235
177	2862	13218
178	2877	13195
179	2891	13173
180	2906	13153
181	2922	13136
182	2940	13126
183	2956	13112
184	2970	13087
185	2986	13070
186	3002	13054
187	3018	13037
188	3033	13017
189	3047	12993
190	3063	12976
191	3079	12959
192	3093	12934
193	3108	12914
194	3122	12891
195	3139	12879
196	3156	12865
197	3170	12842
198	3185	12821
199	3198	12795
200	3213	12775
201	3229	12757
202	3245	12743
203	3262	12728
204	3276	12706
205	3292	12691
206	3307	12672
207	3324	12659
208	3339	12639
209	3359	12636
210	3375	12623
211	3392	12609
212	3408	12595
213	3424	12578
214	3442	12570
215	3460	12561
216	3477	12548
217	3494	12533
218	3510	12518
219	3526	12501
220	3543	12491
221	3559	12474
222	3576	12461
223	3590	12440
224	3606	12421
225	3621	12402
226	3636	12383
227	3654	12374
228	3670	12356
229	3686	12341
230	3700	12318
231	3714	12297
232	3734	12291
233	3751	12280
234	3767	12263
235	3782	12244
236	3795	12220
237	3811	12204
238	3827	12186
239	3840	12162
240	3857	12149
241	3872	12130
242	3888	12114
243	3907	12107
244	3925	12095
245	3943	12088
246	3960	12074
247	3976	12059
248	3993	12044
249	4007	12021
250	4023	12007
251	4037	11984
252	4052	11965
253	4068	11950
254	4084	11932
255	4100	11916
256	4113	11893
257	4129	11877
258	4146	11862
259	4161	11845
260	4178	11830
261	4193	11813
262	4208	11794
263	4222	11771
264	4236	11751
265	4250	11729
266	4267	11716
267	4283	11699
268	4298	11681
269	4314	11666
270	4330	11648
271	4346	11633
272	4363	11619
273	4380	11606
274	4398	11595
275	4416	11585
276	4432	11569
277	4448	11554
278	4463	11534
279	4477	11514
280	4492	11495
281	4509	11481
282	4526	11469
283	4540	11448
284	4555	11429
285	4572	11414
286	4586	11394
287	4601	11374
288	4615	11355
289	4632	11340
290	4646	11321
291	4660	11299
292	4675	11281
293	4690	11264
294	4705	11245
295	4723	11234
296	4739	11218
297	4756	11205
298	4771	11186
299	4786	11169
300	4801	11150
301	4817	11135
302	4835	11123
303	4849	11103
304	4864	11083
305	4880	11069
306	4897	11055
307	4911	11034
308	4925	11015
309	4940	10996
310	4954	10976
311	4968	10955
312	4983	10938
313	4998	10920
314	5012	10899
315	5027	10883
316	5042	10864
317	5057	10846
318	5073	10830
319	5090	10816
320	5106	10800
321	5121	10782
322	5137	10767
323	5152	10750
324	5165	10728
325	5180	10709
326	5194	10691
327	5208	10671
328	5224	10654
329	5239	10638
330	5255	10621
331	5270	10604
332	5286	10589
333	5306	10581
334	5320	10561
335	5335	10543
336	5353	10531
337	5371	10519
338	5389	10509
339	5408	10499
340	5424	10483
341	5440	10468
342	5457	10453
343	5472	10436
344	5488	10420
345	5502	10401
346	5517	10383
347	5534	10368
348	5547	10348
349	5562	10330
350	5580	10318
351	5595	10301
352	5613	10289
353	5630	10274
354	5645	10256
355	5659	10238
356	5676	10223
357	5693	10210
358	5710	10195
359	5726	10181
360	5742	10164
361	5758	10149
362	5773	10131
363	5789	10115
364	5802	10095
365	5817	10077
366	5833	10060
367	5847	10042
368	5862	10024
369	5877	10006
370	5893	9992
371	5906	9971
372	5922	9954
373	5936	9936
374	5953	9922
375	5968	9904
376	5981	9883
377	5997	9868
378	6011	9850
379	6028	9835
380	6044	9820
381	6057	9800
382	6073	9783
383	6087	9765
384	6100	9745
385	6113	9724
386	6127	9706
387	6141	9687
388	6154	9667
389	6167	9646
390	6184	9632
391	6198	9613
392	6218	9604
393	6232	9585
394	6248	9569
395	6264	9554
396	6278	9536
397	6294	9520
398	6310	9505
399	6325	9488
400	6341	9472
401	6363	9465
402	6382	9454
403	6401	9444
404	6417	9428
405	6434	9414
406	6450	9398
407	6471	9389
408	6486	9372
409	6499	9353
410	6515	9337
411	6531	9321
412	6547	9305
413	6560	9286
414	6577	9271
415	6591	9253
416	6607	9237
417	6623	9221
418	6639	9207
419	6655	9190
420	6670	9174
421	6689	9162
422	6707	9148
423	6723	9134
424	6738	9117
425	6754	9101
426	6769	9084
427	6785	9067
428	6801	9052
429	6818	9038
430	6832	9020
431	6848	9004
432	6862	8985
433	6880	8973
434	6896	8957
435	6911	8940
436	6927	8924
437	6942	8908
438	6958	8891
439	6973	8874
440	6988	8858
441	7002	8840
442	7016	8821
443	7030	8803
444	7042	8783
445	7056	8765
446	7070	8747
447	7084	8729
448	7097	8710
449	7111	8691
450	7123	8671
451	7135	8651
452	7148	8631
453	7161	8613
454	7176	8595
455	7189	8576
456	7203	8558
457	7218	8541
458	7230	8522
459	7245	8505
460	7258	8486
461	7272	8469
462	7286	8450
463	7301	8434
464	7314	8415
465	7327	8397
466	7343	8381
467	7359	8365
468	7375	8350
469	7388	8331
470	7403	8315
471	7417	8297
472	7431	8280
473	7446	8263
474	7460	8245
475	7476	8230
476	7491	8213
477	7504	8195
478	7517	8176
479	7530	8157
480	7543	8139
481	7555	8119
482	7569	8102
483	7582	8083
484	7595	8064
485	7609	8047
486	7622	8029
487	7634	8010
488	7648	7992
489	7660	7973
490	7674	7955
491	7689	7939
492	7704	7922
493	7717	7905
494	7733	7889
495	7745	7870
496	7759	7852
497	7773	7835
498	7786	7817
499	7798	7798
500	7810	7779
501	7823	7760
502	7836	7742
503	7849	7724
504	7863	7707
505	7878	7691
506	7895	7677
507	7909	7660
508	7922	7642
509	7935	7624
510	7947	7605
511	7960	7587
512	7973	7569
513	7985	7550
514	7998	7532
515	8013	7516
516	8026	7498
517	8039	7480
518	8052	7463
519	8065	7445
520	8080	7428
521	8093	7411
522	8106	7393
523	8119	7375
524	8132	7358
525	8144	7339
526	8157	7321
527	8169	7303
528	8181	7284
529	8194	7266
530	8208	7249
531	8220	7231
532	8232	7213
533	8245	7195
534	8258	7178
535	8275	7164
536	8290	7148
537	8304	7131
538	8319	7115
539	8336	7101
540	8354	7088
541	8375	7077
542	8396	7066
543	8414	7053
544	8430	7038
545	8447	7024
546	8462	7008
547	8477	6992
548	8491	6975
549	8505	6958
550	8520	6942
551	8535	6926
552	8550	6911
553	8564	6894
554	8577	6877
555	8590	6860
556	8603	6842
557	8618	6826
558	8631	6809
559	8645	6792
560	8658	6775
561	8672	6758
562	8687	6743
563	8703	6728
564	8716	6710
565	8728	6692
566	8741	6675
567	8753	6657
568	8768	6641
569	8780	6623
570	8793	6606
571	8806	6589
572	8819	6572
573	8833	6555
574	8847	6539
575	8860	6522
576	8873	6505
577	8887	6488
578	8899	6471
579	8912	6453
580	8924	6436
581	8937	6418
582	8950	6401
583	8963	6384
584	8975	6367
585	8987	6349
586	9000	6332
587	9014	6315
588	9027	6299
589	9042	6283
590	9055	6267
591	9067	6249
592	9081	6232
593	9094	6216
594	9106	6198
595	9119	6181
596	9133	6165
597	9146	6148
598	9160	6132
599	9174	6116
600	9187	6099
601	9199	6082
602	9213	6065
603	9225	6048
604	9239	6032
605	9252	6015
606	9265	5998
607	9279	5983
608	9295	5967
609	9308	5951
610	9324	5936
611	9340	5921
